social_network,outbound_post,status,account,account_type,author_name,campaign_name,permalink,scheduledtime,publishedtime,tags,published_date,day_of_week,time_of_day,events_outbound_message,media_format_outbound_message,related_product_outbound_message,msft_learn_product_program_outbound_message,c_641deea526668532c520df4c,msft_learn_content_owner_outbound_message,msft_learn_primary_audience_outbound_message,primary_objective_outbound_message,media_type,permalink_1,account_1,msft_learn_approvers_outbound_message,gdc_impressions_sum,gdc_total_engagements_sum,post_likes_and_reactions_sum,post_comments_sum,post_shares_sum,estimated_clicks_sum,gdc_total_engagement_views_sum,count_of_positive_comments_sum,count_of_neutral_comments_sum,count_of_negative_comments_sum,followers_at_post_time_sum,instagram_business_post_impressions_sum,x_poll_votes_sum,stories_alcance,stories_visitas_perfil,stories_navegacao,stories_seguimentos
LinkedIn,"Demonstrate your ability to use Microsoft 365 Copilot Chat to automate work, boost collaboration, and streamline processes. Validate your skills with the new AI certification for business pros.  ",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:share:7406407276992950273,2025-12-15 13:58:19,2025-12-15 13:58:19,,12-15-2025 13:58,Monday,13:00,, , ,, ,,,,Link,https://www.linkedin.com/feed/update/urn:li:share:7406407276992950273,Microsoft Learn,,115,154,149,1,2,0,154,2,0,0,1023713,0,,,,,
X,👉 “Clean up this spreadsheet and format it for easier reading.”,SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/1973138356554158386,2025-09-30 17:30:17,2025-09-30 17:30:17,,09-30-2025 17:30,Tuesday,17:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/1973138356554158386,Microsoft Learn,,127,1,0,1,0,0,1,0,1,0,484560,0,,,,,
X,👉 “Highlight the top 3 trends in this dataset and explain what they mean.”,SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/1973138354624467416,2025-09-30 17:30:17,2025-09-30 17:30:17,,09-30-2025 17:30,Tuesday,17:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/1973138354624467416,Microsoft Learn,,129,1,0,1,0,0,1,0,1,0,484560,0,,,,,
TikTok,"When your designer is on leave and you have Copilot, you let AI do its thing. ✨ ",SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,Social: Broadcast (21),https://www.tiktok.com/@microsoftlearn/video/7555912382049013005,2025-09-30 12:00:06,2025-09-30 12:00:06,,09-30-2025 12:00,Tuesday,12:00,, , ,Copilot, ,MSFT Learn | Agency (Dojo) created,General,,Video,https://www.tiktok.com/@microsoftlearn/video/7555912382049013005,Microsoft Learn,,134,0,0,0,0,0,134,0,0,0,2906,0,,,,,
Instagram,Got a minute? Learn how to create a quick response guide with us ✨,SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.instagram.com/reel/DUEy5VBEatR/,2026-01-28 19:44:59,2026-01-28 19:44:59,,01-28-2026 19:44,Wednesday,19:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Video,https://www.instagram.com/reel/DUEy5VBEatR/,microsoftlearn,,367,1,0,0,0,0,135,0,0,0,114889,0,,,,,
X,👉 “Summarize this data into 3 insights and create a chart to visualize them.”,SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/1973138352866992427,2025-09-30 17:30:17,2025-09-30 17:30:17,,09-30-2025 17:30,Tuesday,17:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/1973138352866992427,Microsoft Learn,,145,1,0,1,0,0,1,0,1,0,484560,0,,,,,
Threads,Copilot tip: Complex question? Try a deeper Thinking Mode for a better answer. 💡,SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWHSTqhltd8,2026-03-20 13:00:00,2026-03-20 13:00:25,,03-20-2026 13:00,Friday,13:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Photo,https://www.threads.com/@microsoftlearn/post/DWHSTqhltd8,microsoftlearn,,168,3,3,0,0,0,3,0,0,0,14075,0,,,,,
Threads,"Not every workflow needs the same level of automation.
M365 agents span from ready-to-use to fully orchestrated.
Which one fits your use case best?",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWRZf7xFZxr,2026-03-24 11:15:15,2026-03-24 11:15:40,,03-24-2026 11:15,Tuesday,11:00,, , ,Other, ,MSFT Learn | Microsoft created,Biz User,,Photo,https://www.threads.com/@microsoftlearn/post/DWRZf7xFZxr,microsoftlearn,,170,12,11,0,1,0,12,0,0,0,14183,0,,,,,
X,"AI Skills Navigator is an agentic learning space, bringing together AI-powered skilling experiences and credentials that help individuals build career skills and organizations worldwide accelerate their business.
Explore more and enhance your skilling experience today!",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/1991602699607961662,2025-11-20 15:21:00,2025-11-20 15:21:00,,11-20-2025 15:21,Thursday,15:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/1991602699607961662,Microsoft Learn,,1524,1352,1166,36,133,0,133,1,3,1,481522,0,,,,,
LinkedIn,"Show you can define AI business value, evaluate AI tools, lead responsible adoption, and reimagine workflows with Microsoft 365 Copilot. Validate your leadership skills with the AI Transformation Leader Certification. ",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:share:7406407284890931200,2025-12-15 13:58:21,2025-12-15 13:58:21,,12-15-2025 13:58,Monday,13:00,, , ,, ,,,,Link,https://www.linkedin.com/feed/update/urn:li:share:7406407284890931200,Microsoft Learn,,309,342,332,5,0,0,206,1,1,0,1023713,0,,,,,
Threads,"Today felt like the right day to release these.

Microsoft Module: How to politely say ‘per my last email’
Microsoft Learning Path: Surviving back-to-back meetings
Microsoft Applied Skills: Troubleshooting your own overthinking
Microsoft Applied Skills: Advanced Tab Management for People with 87 Open Tabs
Microsoft Certified: AI prompt whisperer (PW‑900)
Microsoft Certified: Corporate small talk fundamentals (CS-100)",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWmStenmEuY,2026-04-01 14:00:00,2026-04-01 14:00:21,,04-01-2026 14:00,Wednesday,14:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DWmStenmEuY,microsoftlearn,,183,9,9,0,0,0,9,0,0,0,14353,0,,,,,
X,"Copilot can help you summarize docs directly in MS Word!
Turn long reports into short, clear takeaways instantly.",SENT,Microsoft Learn,TWITTER,Emma Casey,Social: Broadcast (21),https://twitter.com/MicrosoftLearn/status/1978128674349035717,2025-10-14 12:00:00,2025-10-14 12:00:02,,10-14-2025 12:00,Tuesday,12:00,, , ,Copilot, ,MSFT Learn | Agency (Dojo) created,NextGen,,Text,https://twitter.com/MicrosoftLearn/status/1978128674349035717,Microsoft Learn,,183,5,3,2,0,0,5,0,2,0,484969,0,,,,,
Threads,"Always searching for that next tee-hee moment, amiright?",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DVzHamBEkJP,2026-03-12 17:00:00,2026-03-12 17:00:27,,03-12-2026 17:00,Thursday,17:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,NextGen,,Photo,https://www.threads.com/@microsoftlearn/post/DVzHamBEkJP,microsoftlearn,,186,9,8,0,1,0,9,0,0,0,13888,0,,,,,
X,"You can rewrite for the right tone. ✨
Switch your text to formal, casual, or professional with just one click.",SENT,Microsoft Learn,TWITTER,Emma Casey,Social: Broadcast (21),https://twitter.com/MicrosoftLearn/status/1978128676613976389,2025-10-14 12:00:00,2025-10-14 12:00:09,,10-14-2025 12:00,Tuesday,12:00,, , ,Copilot, ,MSFT Learn | Agency (Dojo) created,NextGen,,Text,https://twitter.com/MicrosoftLearn/status/1978128676613976389,Microsoft Learn,,187,4,3,1,0,0,4,0,1,0,484969,0,,,,,
TikTok,Brain dump time. 🧠,SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | AON (Universal),https://www.tiktok.com/@microsoftlearn/video/7601277856626314526,2026-01-30 17:00:00,2026-01-30 17:00:00,,01-30-2026 17:00,Friday,17:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Video,https://www.tiktok.com/@microsoftlearn/video/7601277856626314526,Microsoft Learn,,203,21,15,4,2,0,224,4,1,0,7055,0,,,,,
TikTok,"Meet The Guardian, our go-to IT Pro, kicking off the week with a Copilot tip that keeps security work simple 🔐",SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | AON (Universal),https://www.tiktok.com/@microsoftlearn/video/7584142971344358711,2025-12-15 12:49:03,2025-12-15 12:49:03,,12-15-2025 12:49,Monday,12:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,IT Pro,,Video,https://www.tiktok.com/@microsoftlearn/video/7584142971344358711,Microsoft Learn,,205,7,6,1,0,0,212,1,0,0,5462,0,,,,,
Threads,"Getting better results from AI isn’t about writing longer prompts; it’s about writing them better.
Ashley Masters Hall shares five practical tips and four proven tricks to make Microsoft Copilot work with you, not just for you.
👉 Read the blog: https://aka.ms/FY26Q3BusinessUserBlog2_threads",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | OBO (Universal),https://www.threads.com/@microsoftlearn/post/DWCTBInGLyW,2026-03-18 14:30:00,2026-03-18 14:30:26,,03-18-2026 14:30,Wednesday,14:00,, , ,Blog, ,MSFT Learn | Microsoft created,Biz User,,Photo,https://www.threads.com/@microsoftlearn/post/DWCTBInGLyW,microsoftlearn,Thought Leadership Approver Group,206,8,8,0,0,6,8,0,0,0,14013,0,,,,,
X,"A common pattern we see: 
AI initiatives stall not because of the technology itself, but because there’s no shared purpose or objective behind the skilling. ",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | OBO (Universal),https://twitter.com/MicrosoftLearn/status/1998844685134029008,2025-12-10 14:58:03,2025-12-10 14:58:04,,12-10-2025 14:58,Wednesday,14:00,, , ,Learn for Organizations, ,MSFT Learn | Microsoft created,Decision Maker/Executive,,Text,https://twitter.com/MicrosoftLearn/status/1998844685134029008,Microsoft Learn,Thought Leadership Approver Group,208,2,1,1,0,0,2,0,1,0,477562,0,,,,,
Instagram,"Be honest, how many did you get right? 👀",SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.instagram.com/reel/DUPBCJeDc89/,2026-02-01 19:04:03,2026-02-01 19:04:03,,02-01-2026 19:04,Sunday,19:00,, , ,Microsoft Applied Skills, ,MSFT Learn | Microsoft created,Tech Pro,,Video,https://www.instagram.com/reel/DUPBCJeDc89/,microsoftlearn,,321,1,1,0,0,0,210,0,0,0,114926,0,,,,,
X,"Before accelerating, ask yourself this deceptively simple question:  
“What problem are we solving with AI skilling?”

If leaders can’t answer this consistently, the strategy won’t hold.  ",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | OBO (Universal),https://twitter.com/MicrosoftLearn/status/1998844687256330249,2025-12-10 14:58:03,2025-12-10 14:58:05,,12-10-2025 14:58,Wednesday,14:00,, , ,Learn for Organizations, ,MSFT Learn | Microsoft created,Decision Maker/Executive,,Text,https://twitter.com/MicrosoftLearn/status/1998844687256330249,Microsoft Learn,Thought Leadership Approver Group,216,2,1,1,0,0,2,0,1,0,477562,0,,,,,
LinkedIn,"Need a refresher? Free Microsoft course videos let you revisit key concepts and enhance your skills—whenever, wherever! ✨ 

#CourseVideosOnShows",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:share:7369095835332042753,2025-09-03 15:55:58,2025-09-03 15:55:58,,09-03-2025 15:55,Wednesday,15:00,, , ,, ,,,,Link,https://www.linkedin.com/feed/update/urn:li:share:7369095835332042753,Microsoft Learn,,218,418,411,4,0,0,418,4,0,0,946618,0,,,,,
Threads,"When you're a certified AI Business Professional, Copilot becomes your superpower. ⚡ 
🔗 https://learn.microsoft.com/en-us/credentials/certifications/ai-business-professional/?practice-assessment-type=certification",SENT,microsoftlearn,THREADS,Emma Casey,Social: Broadcast (21),https://www.threads.com/@microsoftlearn/post/DUHP1iGjMai,2026-01-29 18:35:34,2026-01-29 18:36:18,,01-29-2026 18:36,Thursday,18:00,, , ,Microsoft Certifications, ,MSFT Learn | Microsoft created,Biz User,,Video,https://www.threads.com/@microsoftlearn/post/DUHP1iGjMai,microsoftlearn,,218,2,2,0,0,6,2,0,0,0,11512,0,,,,,
X,"Another hard truth: 
AI skilling doesn’t scale when it lives inside a single team. 

You need a coalition of teams: technology, talent, learning and transformation, all pulling in the same direction. ",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | OBO (Universal),https://twitter.com/MicrosoftLearn/status/1998844689181556859,2025-12-10 14:58:03,2025-12-10 14:58:05,,12-10-2025 14:58,Wednesday,14:00,, , ,Learn for Organizations, ,MSFT Learn | Microsoft created,Decision Maker/Executive,,Text,https://twitter.com/MicrosoftLearn/status/1998844689181556859,Microsoft Learn,Thought Leadership Approver Group,223,2,1,1,0,0,2,0,1,0,477562,0,,,,,
Threads,"Ignite’s almost here! 5 days left to level up.
Which Fundamentals cert are you tackling next?",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | Ignite (Universal),https://www.threads.com/@microsoftlearn/post/DRAQONVkbbj,2025-11-13 11:50:09,2025-11-13 11:50:09,,11-13-2025 11:50,Thursday,11:00,, , ,, ,,,,Photo,https://www.threads.com/@microsoftlearn/post/DRAQONVkbbj,microsoftlearn,,227,9,9,0,0,0,9,0,0,0,7345,0,,,,,
Threads,"Did you know that you use machine learning every day without even realizing it? 

Things like: 
• Your keyboard finishing your sentence 
• Your maps app predicting your route 
• Your email filtering spam 
All of that is ML in action. 

At its core, machine learning is just a computer learning from past examples so it can make informed predictions about something new.",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DV1Xm81EaOZ,2026-03-13 14:00:00,2026-03-13 14:00:21,,03-13-2026 14:00,Friday,14:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,General,,Text,https://www.threads.com/@microsoftlearn/post/DV1Xm81EaOZ,microsoftlearn,,240,14,12,2,0,0,14,2,0,0,13907,0,,,,,
Threads,"Microsoft AI Power Days is a three‑day immersive event where you’ll explore agentic AI models, secure cloud solutions, and practical strategies to keep your business on the frontier of technology. 

Join us February 17–19.

Register for free ➡️ https://aka.ms/AIPowerDays2026",SENT,microsoftlearn,THREADS,Marlon Zanatti,MSFT Learn | OBO (Universal),https://www.threads.com/@microsoftlearn/post/DUmTCB6jBNl,2026-02-10 20:00:00,2026-02-10 20:00:25,,02-10-2026 20:00,Tuesday,20:00,, , ,Other, ,MSFT Learn | Microsoft created,General,,Photo,https://www.threads.com/@microsoftlearn/post/DUmTCB6jBNl,microsoftlearn,,244,17,13,2,2,9,17,2,0,0,13021,0,,,,,
Threads,"Curious how IT teams are thinking about AI agents right now. Where would you actually deploy one first?
1) Monitoring
2) Ticketing
3) Identity workflows
4) Security investigations
Comment your number below.",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWY5R1lEfjb,2026-03-27 09:07:38,2026-03-27 09:07:44,,03-27-2026 09:07,Friday,09:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,IT Pro,,Text,https://www.threads.com/@microsoftlearn/post/DWY5R1lEfjb,microsoftlearn,,245,11,8,3,0,0,11,1,2,0,14257,0,,,,,
X,"AI Skills Navigator just got a glow-up. 
Same trusted skilling experience, now more dynamic, more personal, and powered by next-level AI. 
Click to learn more👇",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/1993707261957423110,2025-11-26 10:43:47,2025-11-26 10:43:47,,11-26-2025 10:43,Wednesday,10:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/1993707261957423110,Microsoft Learn,,248,192,168,6,12,0,192,0,3,3,480842,0,,,,,
Threads,"Do you think you know about AI agents? Test your knowledge with the quiz below!
And complete the Credentials AI Challenge for a chance at 50% off your next Microsoft Certification exam (18+. Ends 3/2.): https://learn.microsoft.com/en-us/credentials/microsoft-credentials-ai-challenge?wt.mc_id=credentials_AIChallenge_organicsocial_wwl_threads

Which prompt style best supports generating a structured, citation-rich report?",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | OBO (Universal),https://www.threads.com/@microsoftlearn/post/DVHUa5rEvk5,2026-02-23 15:47:05,2026-02-23 15:47:05,,02-23-2026 15:47,Monday,15:00,, , ,AI Skills Challenge, ,MSFT Learn | Microsoft created,General,,Link,https://www.threads.com/@microsoftlearn/post/DVHUa5rEvk5,microsoftlearn,Credentials Approver Group,256,8,7,0,1,0,8,0,0,0,13471,0,,,,,
Threads,"Did you spot the answer? 🔍Review and refine

If you got it right away, it’s time to dive into the Applied Skills Challenge: Reimagine everyday business processes with agents. 
Join the Microsoft Credentials AI Challenge at the link in our bio for a shot at 50% off a Microsoft Certification exam (18+. Ends March 2): https://learn.microsoft.com/en-us/credentials/microsoft-credentials-ai-challenge?wt.mc_id=credentials_AIChallenge_organicsocial_wwl_threads",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | OBO (Universal),https://www.threads.com/@microsoftlearn/post/DU6RWslEpxc,2026-02-18 14:10:11,2026-02-18 14:10:11,,02-18-2026 14:10,Wednesday,14:00,, , ,, ,MSFT Learn | Microsoft created,General,,Photo,https://www.threads.com/@microsoftlearn/post/DU6RWslEpxc,microsoftlearn,Credentials Approver Group,265,7,6,0,1,0,7,0,0,0,13352,0,,,,,
Threads,"We love seeing the developer expert community share how they build 👏
MVPs Jonah Andersson and Håkan Silfvernagel walk through using the Microsoft Learn MCP Server so AI agents can quickly pull best practices from Learn docs as you code.
https://youtu.be/8HCuV82huEw?t=920",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWrJ7B9Ftww,2026-04-03 11:19:25,2026-04-03 11:19:25,,04-03-2026 11:19,Friday,11:00,, , ,Other, ,MSFT Learn | Microsoft created,Developer,,Link,https://www.threads.com/@microsoftlearn/post/DWrJ7B9Ftww,microsoftlearn,,270,21,17,3,1,0,21,1,2,0,14407,0,,,,,
Threads,"Switch Saturday to-do stress for Saturday success with this simple Copilot prompt ✨

Prompt: Create a step-by-step plan to [insert goal] in [insert timeframe].",SENT,microsoftlearn,THREADS,SprinklrSystem ,[Auto Import] (Universal),https://www.threads.com/@microsoftlearn/post/DPq_96MjRQf,2025-10-11 10:12:40,2025-10-11 10:12:40,,10-11-2025 10:12,Saturday,10:00,, , ,, ,,,,Text,https://www.threads.com/@microsoftlearn/post/DPq_96MjRQf,microsoftlearn,,272,9,7,0,2,0,9,0,0,0,737,0,,,,,
Threads,"We’ve officially made it to Friday 👏
Let’s close loops and start the weekend stress-free with this Copilot prompt:

“Create short, friendly follow-up reminders for these emails’ pending tasks.”

Future you will thank present you.",SENT,microsoftlearn,THREADS,SprinklrSystem ,[Auto Import] (Universal),https://www.threads.com/@microsoftlearn/post/DPoPUO5EcTy,2025-10-10 08:29:04,2025-10-10 08:29:04,,10-10-2025 08:29,Friday,08:00,, , ,, ,,,,Text,https://www.threads.com/@microsoftlearn/post/DPoPUO5EcTy,microsoftlearn,,278,14,8,2,1,0,14,0,2,0,718,0,,,,,
TikTok,Share this with anyone who’s about to build the tax season report. *Features may vary depending on your Microsoft 365 plan.,SENT,Microsoft Learn,TIKTOK_BUSINESS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.tiktok.com/@microsoftlearn/video/7621294734459276575,2026-03-25 16:36:19,2026-03-25 16:36:19,,03-25-2026 16:36,Wednesday,16:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Video,https://www.tiktok.com/@microsoftlearn/video/7621294734459276575,Microsoft Learn,,281,14,12,2,0,0,295,2,0,0,8895,0,,,,,
Threads,"Only 3 more days to Ignite!
Turn your agenda into a skilling plan and make every session count.",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | Ignite (Universal),https://www.threads.com/@microsoftlearn/post/DRFNNaiDaN3,2025-11-15 10:00:00,2025-11-15 10:00:23,,11-15-2025 10:00,Saturday,10:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,IT Pro,,Photo,https://www.threads.com/@microsoftlearn/post/DRFNNaiDaN3,microsoftlearn,,293,9,7,1,1,0,9,1,0,0,7843,0,,,,,
